bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
0,7,40,94,17,9,109,1,59,13,7,60,40,32,43,35,23,83,42,82,5,45,64,255,377,15,25,40,1,1,6,71,15
0,73,56,4,8,27,173,82,22,18,10,16,56,45,20,55,40,85,80,84,17,65,33,86,34,16,55,21,8,158,55,89,42
0,85,20,108,9,11,41,69,45,50,14,28,53,59,8,2,12,46,47,38,35,84,59,390,147,1,14,21,32,133,41,21,15
0,19,58,100,20,21,14,148,19,11,35,52,7,13,59,40,40,2,61,12,59,62,74,50,172,0,56,30,54,46,123,193,43
0,15,77,89,45,39,135,62,31,21,33,5,3,87,18,58,24,64,21,71,58,5,48,77,98,43,39,27,45,170,74,134,10
0,80,28,82,28,39,196,74,17,28,38,37,54,99,33,26,44,56,48,87,45,73,52,69,231,37,11,47,70,104,129,145,17
0,85,87,50,42,53,166,160,0,37,2,38,53,99,34,9,32,41,35,56,10,21,4,256,108,24,27,13,59,112,73,100,33
0,59,2,62,51,28,32,129,32,10,33,4,21,84,12,43,7,66,56,8,23,43,86,22,200,40,57,36,86,143,96,110,9
0,22,28,5,47,21,192,24,19,37,1,56,47,115,8,50,57,46,67,84,14,37,10,289,115,60,17,29,85,94,18,97,0
0,90,71,28,36,53,66,101,46,14,2,49,1,51,24,38,4,10,53,53,68,16,33,169,215,56,5,48,109,47,143,84,32
0,63,32,54,45,6,7,106,7,8,21,55,46,82,34,44,27,13,55,19,6,83,42,48,214,35,22,60,43,181,21,62,57
0,41,11,101,42,13,20,149,17,6,0,49,42,74,53,15,40,25,38,9,78,5,78,417,44,53,4,34,24,166,20,27,50
0,55,4,44,1,34,105,122,22,4,17,21,33,32,2,21,14,24,25,60,64,11,84,399,329,26,1,1,100,38,14,17,6
0,67,78,92,10,58,172,165,15,23,28,35,14,26,4,49,17,12,49,17,49,21,48,344,413,14,0,57,64,156,150,15,10
0,13,60,108,6,14,40,143,28,43,31,24,35,29,47,35,45,9,86,84,2,66,34,176,92,51,21,52,3,88,13,195,18
0,16,37,94,27,50,177,199,25,53,20,54,25,115,45,4,36,84,37,76,45,43,37,277,163,40,21,45,94,40,15,144,42
0,41,49,91,59,15,64,130,15,21,39,60,1,104,50,53,35,87,89,35,39,11,7,212,306,27,33,37,34,46,114,198,55
0,100,20,110,29,27,107,62,56,7,18,32,60,116,14,43,42,68,15,55,45,12,86,377,164,8,54,56,54,141,23,168,32
0,20,84,39,29,2,141,105,36,23,4,12,23,68,58,54,20,82,20,26,64,54,25,346,393,7,55,53,111,77,49,205,32
0,62,57,102,43,16,53,61,1,22,23,59,58,93,2,4,55,18,67,30,44,44,18,263,314,18,1,28,92,125,71,75,49
0,53,53,68,23,14,115,6,37,34,33,29,37,16,27,1,47,34,47,48,56,17,56,273,93,25,53,36,52,165,121,3,0
0,16,64,82,7,60,199,61,11,34,0,57,50,46,28,37,19,4,38,32,1,81,11,320,210,58,49,52,33,153,130,109,28
0,43,85,22,58,28,50,64,26,22,7,8,46,21,36,5,30,33,6,60,31,82,79,205,228,55,37,26,70,101,57,16,53
0,31,9,101,1,53,144,14,8,48,4,57,46,115,5,46,38,47,62,53,40,56,78,365,371,33,38,16,54,53,77,197,34
0,89,78,3,19,58,27,57,40,38,36,5,0,106,59,37,7,65,86,0,40,83,85,60,181,8,57,57,22,120,134,30,34
0,28,52,86,50,21,171,78,60,6,8,25,10,98,4,41,45,34,64,35,17,7,5,161,320,19,36,33,4,177,80,70,52
0,86,18,41,20,21,68,13,8,21,26,4,23,22,38,57,7,88,16,67,59,50,55,340,335,44,8,48,71,91,38,42,14
0,66,0,64,11,49,97,96,30,0,33,34,39,95,40,40,58,53,10,13,8,52,43,247,157,32,55,50,94,23,53,36,31
0,10,0,78,21,18,154,28,36,10,8,54,27,53,18,36,57,90,86,29,24,39,72,56,314,12,0,8,42,176,25,69,32
0,99,0,118,50,22,43,37,17,30,17,38,53,27,6,34,26,10,0,63,25,2,58,225,71,26,18,1,14,61,56,206,51
0,10,37,69,3,36,109,28,44,14,20,21,31,12,22,10,23,32,38,37,46,43,68,274,15,4,12,28,118,82,113,111,56
0,11,71,11,36,41,33,198,29,4,24,49,20,7,53,16,58,17,32,88,87,69,82,198,184,32,32,5,111,185,22,61,48
0,54,35,61,19,31,160,146,14,21,9,59,2,97,37,54,52,18,82,80,12,71,48,178,393,27,4,20,90,24,117,47,44
0,13,88,75,8,11,185,99,49,1,13,60,8,26,54,57,21,47,11,38,3,23,75,144,91,22,58,34,56,95,133,51,20
0,26,25,79,0,47,99,104,32,41,10,7,44,101,49,6,32,48,32,4,54,65,23,144,26,55,13,53,39,103,57,73,30
0,92,4,42,40,8,179,165,10,37,24,31,35,67,23,31,43,60,12,86,54,82,45,284,161,17,7,55,82,74,99,75,15
0,99,70,69,25,20,179,17,4,47,10,38,21,39,27,22,20,19,22,33,35,70,8,227,298,18,18,35,19,163,0,175,49
0,99,28,81,44,37,7,39,22,24,11,58,4,106,44,10,47,21,84,55,33,55,5,218,241,45,23,39,16,2,30,94,35
0,61,13,114,60,32,61,180,17,36,26,20,31,91,56,39,21,90,54,62,24,2,58,100,161,11,43,48,102,35,82,118,11
0,78,51,68,36,60,169,136,41,58,32,22,53,79,10,9,38,65,38,9,13,65,84,264,85,44,50,3,94,69,59,114,15
0,34,85,36,7,48,25,143,41,23,24,44,14,55,36,28,43,77,83,23,23,18,1,306,185,22,44,7,98,27,36,160,7
0,59,55,25,9,20,75,43,56,30,12,15,50,96,36,59,2,2,42,48,51,63,27,333,333,6,47,44,104,3,17,58,9
0,20,51,41,17,32,168,97,5,44,18,37,27,50,48,51,16,56,35,73,3,32,20,201,300,33,21,1,0,38,90,162,41
0,49,6,77,17,40,148,51,30,39,18,48,40,63,22,54,53,25,1,11,5,59,31,294,117,4,44,5,16,68,126,1,39
0,1,24,65,55,39,76,105,28,34,16,19,29,19,20,27,31,12,90,90,29,47,80,344,219,29,3,3,40,127,17,197,24
0,76,85,19,26,49,188,56,26,34,9,56,48,118,58,39,44,23,46,51,63,37,61,119,146,9,47,12,1,136,67,21,21
0,92,7,88,48,11,41,18,34,47,10,29,30,36,45,46,7,20,64,33,60,42,86,1,157,58,11,38,65,99,2,122,54
0,83,62,44,12,48,28,128,43,11,22,50,53,49,51,55,16,4,3,47,76,8,10,109,85,36,27,1,93,139,6,47,27
0,24,74,82,30,40,173,165,15,49,32,47,11,115,56,28,57,29,63,11,84,14,4,116,323,23,30,16,37,70,130,131,48
0,24,29,89,25,10,124,101,50,35,41,33,24,95,0,50,56,66,51,20,65,8,14,173,44,33,7,20,88,58,0,95,50
0,1,79,71,22,14,158,150,29,20,21,46,6,110,15,46,45,7,57,5,2,26,10,235,316,26,41,35,37,46,46,35,52
0,86,48,34,48,56,55,34,21,60,4,26,20,29,49,14,60,49,50,0,65,88,26,172,15,19,32,42,5,111,74,159,40
0,49,56,44,57,49,118,18,33,38,1,3,57,103,26,58,18,81,41,59,82,13,29,188,82,45,12,44,42,42,148,153,50
0,20,44,6,11,8,1,183,19,40,22,59,4,86,11,21,39,73,71,76,11,20,31,100,189,37,17,22,75,191,44,120,0
0,10,36,54,4,46,161,42,36,43,20,49,56,34,15,19,22,44,5,89,36,78,67,58,285,20,5,8,77,144,73,38,32
0,65,72,37,1,16,199,16,40,60,5,44,4,64,40,27,15,72,17,5,9,71,51,69,81,42,6,35,53,5,113,188,49
0,50,34,33,33,47,25,125,11,26,7,25,45,70,24,53,40,6,1,67,11,30,77,219,405,57,2,1,20,70,124,206,45
0,28,21,33,6,6,73,170,16,3,5,43,54,104,31,2,37,49,38,64,79,29,50,12,408,2,37,39,91,15,16,202,19
0,31,66,97,46,25,71,174,13,42,24,55,35,78,28,37,16,63,3,73,82,20,36,384,365,23,31,55,35,95,129,199,7
0,70,29,78,32,59,86,56,48,13,28,18,36,41,5,8,25,29,13,33,69,7,89,295,403,12,47,9,1,185,78,75,15
0,98,23,29,40,0,120,78,55,42,43,58,5,11,11,45,13,28,64,2,14,53,59,67,221,4,28,35,5,168,88,132,35
0,36,48,56,44,43,197,16,31,5,45,50,7,67,57,9,29,42,47,12,19,61,35,187,295,7,58,20,107,125,56,26,14
0,53,60,82,48,19,22,60,35,51,15,41,32,115,19,6,48,33,11,84,27,55,12,405,4,60,37,57,75,35,124,49,20
0,94,71,12,43,32,173,13,13,29,6,45,31,38,1,26,3,86,10,87,64,74,58,237,322,18,20,30,60,95,131,22,36
0,25,12,0,23,52,71,131,18,11,17,43,18,87,47,0,25,38,82,12,21,4,28,268,108,33,28,14,13,113,49,120,37
0,70,69,33,40,1,131,25,0,35,8,43,52,26,9,37,14,81,88,46,3,9,48,271,60,36,6,18,22,157,9,50,40
0,79,80,97,57,4,66,181,60,54,13,23,17,111,13,38,11,23,49,57,33,81,13,417,174,46,37,26,93,148,1,171,53
0,87,18,11,43,45,166,107,0,51,39,41,53,44,59,21,24,0,57,76,9,75,5,66,136,53,14,42,93,32,25,156,40
0,10,65,6,28,3,104,34,21,32,25,9,41,58,33,43,55,26,55,22,48,69,9,222,70,3,34,32,58,66,132,109,21
0,18,45,57,33,46,103,15,59,42,30,54,18,60,11,35,6,85,83,33,59,63,25,316,321,36,53,47,103,92,27,162,25
0,31,70,65,1,48,30,105,19,0,3,51,1,37,9,48,52,37,72,64,38,30,38,396,131,9,28,8,21,111,134,58,42
0,48,9,94,58,29,88,200,39,55,41,52,29,109,23,27,22,55,34,27,47,10,18,267,257,9,31,34,12,169,16,149,40
0,54,68,40,17,41,59,164,56,54,13,10,51,85,4,47,46,35,84,69,56,11,84,205,395,29,18,38,65,144,20,102,50
0,29,6,56,9,57,173,105,58,54,15,29,38,84,40,29,3,35,90,46,62,25,48,41,136,55,51,0,107,33,131,164,22
0,33,65,91,25,57,159,115,8,57,4,60,24,34,41,14,4,26,70,12,29,45,69,17,186,4,33,39,24,10,74,144,47
0,87,22,31,56,29,28,123,35,42,0,17,45,29,13,44,18,56,79,73,76,59,21,400,348,15,15,5,17,50,130,204,10
0,62,85,3,19,25,58,164,9,29,40,30,56,75,47,53,5,68,51,23,29,66,3,280,352,32,50,51,40,88,88,130,30
0,64,32,37,57,53,63,54,56,9,35,60,14,105,52,26,1,8,86,0,8,39,24,96,246,34,18,38,23,185,28,29,31
0,19,36,23,35,12,100,12,55,28,21,55,55,117,59,31,16,9,59,27,70,27,23,294,9,59,43,47,19,134,85,19,49
0,1,82,26,19,41,145,172,36,10,14,54,50,107,57,22,7,46,85,63,2,32,58,407,215,27,27,5,1,190,22,60,52
0,89,53,15,55,5,124,139,29,6,4,38,41,42,5,5,34,18,38,76,11,59,59,105,382,53,35,1,24,150,17,75,23
0,35,63,89,56,3,112,114,0,3,20,33,33,77,57,48,53,77,26,42,89,82,78,308,151,43,42,52,118,5,107,149,17
0,18,88,69,18,22,71,57,43,9,8,17,39,42,38,42,32,66,34,52,16,12,74,61,29,8,14,21,70,99,116,121,35
0,94,68,81,33,18,77,114,9,59,42,10,21,82,58,52,22,84,0,5,8,72,89,269,2,60,36,53,10,95,29,134,6
0,23,7,41,29,45,2,46,46,48,43,34,26,41,41,45,26,88,49,34,26,27,39,87,73,0,37,53,91,110,61,99,39
0,3,58,114,18,52,164,150,54,38,28,18,20,19,27,43,5,10,28,18,1,51,85,316,102,39,36,5,92,57,101,120,27
0,44,73,81,38,44,79,155,20,16,1,5,17,112,16,26,36,84,35,0,34,59,50,149,186,45,60,12,16,135,27,15,4
0,8,79,119,38,3,73,85,2,27,42,41,7,98,22,33,45,51,66,57,63,18,28,230,78,11,25,50,11,131,21,77,11
0,35,12,77,35,39,179,0,16,36,22,1,11,118,56,14,35,77,79,10,47,69,9,3,407,20,56,43,15,15,26,14,15
0,59,72,53,41,16,85,141,12,30,14,20,51,32,3,3,19,31,37,46,64,51,65,154,121,41,18,25,28,51,43,6,15
0,96,16,69,60,54,110,33,38,10,9,32,13,117,48,6,20,87,25,80,79,50,63,60,304,45,3,55,48,68,115,137,55
0,12,71,74,52,32,148,142,29,9,26,60,18,75,16,59,17,8,33,70,73,2,47,244,94,44,42,19,18,7,120,191,60
0,88,25,24,13,47,116,98,40,6,31,49,19,6,23,13,14,44,14,4,64,76,25,28,117,21,51,18,62,117,113,126,11
0,66,42,71,0,51,170,111,28,7,33,55,26,66,32,30,55,45,6,3,3,31,50,286,100,29,52,7,36,132,135,79,21
0,65,71,21,19,40,110,74,19,13,15,6,40,115,43,52,38,22,56,89,5,48,20,313,291,23,46,14,115,19,73,114,8
0,21,79,90,27,44,154,50,42,53,31,20,9,83,50,44,14,82,9,8,89,0,89,106,34,45,34,21,49,10,26,163,58
0,0,74,52,22,36,27,153,7,1,38,40,26,120,49,16,49,26,58,59,22,46,66,227,15,32,12,5,58,99,59,117,18
0,47,15,31,8,34,63,83,52,23,12,24,25,99,11,32,51,24,60,25,53,14,85,163,370,55,7,16,94,78,140,88,7
0,61,2,91,52,40,181,47,43,13,27,9,19,29,4,8,2,52,49,12,56,65,2,35,268,3,9,51,44,91,105,137,42
0,85,61,115,24,8,52,62,8,33,11,9,33,42,18,2,22,18,4,43,9,14,42,283,300,13,60,22,73,61,150,71,34
0,44,87,105,13,6,107,102,29,45,11,29,10,11,19,48,50,76,61,55,48,24,13,298,356,29,21,53,16,170,95,24,18
0,44,70,90,60,8,7,191,59,29,32,27,47,29,17,11,20,53,76,49,86,54,78,127,409,3,41,44,98,109,127,43,57
0,11,57,10,13,8,58,19,51,25,6,19,0,37,49,9,57,76,33,58,53,51,29,240,137,38,28,47,61,46,79,134,38
0,47,70,25,5,8,185,139,5,14,13,38,40,56,27,49,50,5,44,19,5,80,28,139,126,3,15,32,69,101,134,208,8
0,86,8,2,60,58,25,36,16,18,27,3,58,60,7,47,35,38,65,69,81,18,75,357,174,6,18,28,24,65,18,16,34
0,32,65,28,13,59,176,148,44,46,44,33,50,14,52,8,52,62,34,22,43,8,79,258,137,46,6,27,102,52,102,17,21
0,28,67,114,60,9,162,84,4,20,33,8,60,105,44,10,38,75,34,47,20,89,57,296,200,8,57,6,89,130,74,9,11
0,57,35,29,12,55,17,165,15,50,3,39,6,72,46,47,44,51,30,43,41,41,44,11,33,10,53,32,101,100,106,190,24
0,68,17,61,55,31,34,73,48,52,1,32,59,70,54,25,0,57,22,69,1,41,29,395,283,58,26,23,42,94,55,33,47
0,27,32,2,37,22,59,49,28,43,14,15,0,119,53,40,1,31,0,31,53,49,42,29,129,38,16,22,115,110,80,196,23
0,65,70,109,58,42,187,58,17,52,27,23,0,80,45,23,8,85,30,77,13,39,37,146,74,29,47,58,98,89,97,164,17
0,44,12,17,37,33,43,104,2,9,10,38,47,21,55,19,12,49,5,52,56,29,78,342,416,14,20,0,30,159,114,41,56
0,90,50,106,36,4,4,160,52,5,21,36,18,105,22,31,15,65,6,77,11,19,48,189,372,4,11,32,68,32,56,2,34
0,24,40,97,22,12,112,51,57,52,2,54,1,91,1,8,51,2,28,80,27,59,0,417,47,19,28,36,1,190,16,159,33
0,56,87,33,33,49,132,26,16,31,37,50,2,70,60,24,23,83,41,7,24,3,40,395,401,55,51,25,113,92,133,1,22
0,84,60,74,25,38,49,97,18,41,38,43,42,117,8,19,9,31,68,64,49,66,84,152,313,50,21,53,41,50,73,168,36
0,80,5,86,11,0,46,123,40,29,33,22,51,60,50,15,36,27,47,39,35,68,25,380,314,26,60,40,24,192,35,49,9
0,87,90,77,22,29,60,7,30,42,30,1,46,67,10,22,12,30,15,6,67,34,45,99,143,50,15,5,8,134,1,96,9
0,13,16,57,18,1,83,50,7,23,7,36,23,51,57,18,31,31,66,40,28,66,36,136,390,44,14,39,17,81,83,63,24
0,8,85,32,48,8,118,24,4,29,28,25,26,111,40,24,48,86,29,24,67,79,65,368,203,10,8,60,49,104,124,33,55
0,95,72,3,21,17,137,59,41,12,14,16,37,86,41,10,41,88,9,18,47,56,70,129,121,56,43,11,110,200,42,166,25
0,41,57,78,48,6,46,163,15,8,0,33,19,91,44,3,6,26,66,9,78,87,24,309,171,29,23,53,104,80,133,83,18
0,22,29,40,48,12,197,169,30,53,15,56,49,81,42,43,60,74,16,33,33,5,63,324,261,13,8,40,91,183,34,92,17
0,79,60,120,56,54,81,16,20,32,17,9,8,49,1,17,37,77,10,79,80,78,19,169,365,55,37,38,49,18,72,53,5
0,0,22,88,47,28,48,171,11,34,16,37,12,86,23,3,43,47,41,65,90,63,45,146,114,32,33,44,113,127,87,50,39
0,2,31,54,19,47,113,154,2,39,0,23,46,45,54,16,47,65,40,2,11,71,41,272,6,14,47,55,47,115,37,39,9
0,69,87,104,44,44,148,81,17,8,7,51,26,72,28,22,13,53,85,3,86,7,42,103,353,7,52,14,115,164,49,190,15
0,40,52,97,56,14,88,143,22,57,28,36,50,107,56,45,2,77,24,0,65,41,85,189,383,35,52,41,40,45,62,65,4
0,12,69,56,22,29,183,78,10,21,30,53,5,71,5,5,53,74,89,11,60,59,57,380,198,26,21,3,81,138,74,174,4
0,83,56,54,33,60,29,69,36,7,32,3,27,85,14,17,41,37,75,38,41,11,20,131,189,28,23,28,76,175,118,144,18
0,34,88,95,51,52,175,29,12,14,44,27,31,64,24,18,57,58,83,89,41,62,17,9,230,31,24,48,87,165,62,87,35
0,17,19,29,3,31,130,29,18,49,29,25,52,81,57,22,10,47,41,48,68,29,4,409,199,7,50,0,68,88,117,85,26
0,55,82,58,23,49,113,169,47,41,38,18,56,8,31,46,7,39,61,2,30,46,57,316,222,36,21,19,3,3,138,142,38
0,95,84,95,29,46,94,62,13,40,8,10,6,70,59,3,60,28,85,21,9,63,5,200,397,7,22,41,44,193,16,183,51
0,73,4,58,2,52,149,140,52,12,23,1,13,0,57,41,25,84,88,53,32,57,31,183,415,45,3,21,24,16,18,143,9
0,15,14,12,4,27,59,72,3,13,16,14,20,90,50,11,10,65,81,24,36,73,66,112,265,38,38,11,98,93,125,166,40
0,51,40,41,34,37,82,182,29,55,22,34,14,94,34,23,2,53,58,80,13,4,44,205,285,45,32,0,92,110,8,123,1
0,82,40,36,60,56,167,192,5,45,3,42,11,110,19,44,21,22,47,13,25,21,28,327,27,37,7,23,31,79,105,63,4
0,64,71,108,10,24,195,25,49,12,32,28,15,35,40,46,37,47,38,29,40,46,15,77,41,52,5,48,39,172,10,10,41
0,36,78,59,14,18,37,145,24,50,9,16,32,119,20,53,30,57,73,39,81,26,79,304,359,1,24,56,60,78,147,179,1
0,74,43,33,46,16,64,36,1,54,37,43,49,73,48,47,54,82,77,41,8,6,7,74,300,22,39,55,95,31,6,127,25
0,15,90,49,32,46,90,12,59,18,18,28,9,10,22,25,40,24,90,66,64,88,77,331,371,25,4,58,28,82,125,124,52
0,82,29,38,28,10,108,74,44,51,34,16,45,51,2,49,13,58,77,85,10,59,5,238,276,37,52,55,19,82,150,85,8
0,86,57,39,26,2,154,180,54,29,19,60,30,29,52,24,60,14,33,29,9,23,24,65,1,24,32,40,116,118,12,54,53
0,52,61,44,27,30,181,117,33,15,22,19,32,44,56,32,48,19,51,51,28,34,39,293,203,5,26,3,57,147,28,17,1
0,81,89,58,41,47,183,76,40,57,6,60,9,76,8,27,2,74,32,74,72,55,71,213,324,45,55,51,78,69,146,32,23
0,51,41,37,58,52,36,4,21,4,0,49,37,52,53,32,38,84,66,17,19,8,45,331,275,2,53,28,55,159,145,122,24
0,57,55,27,33,58,110,183,35,24,4,34,40,110,39,30,10,13,13,55,19,43,89,158,52,26,5,33,47,181,72,34,6
0,27,32,68,52,10,8,122,60,12,10,7,45,90,23,6,31,64,13,73,35,36,12,65,296,21,8,38,19,36,136,40,26
0,10,18,59,10,20,159,196,41,32,11,10,17,80,29,8,28,45,42,81,32,2,15,321,70,21,60,29,34,68,32,12,29
0,35,37,5,18,15,109,135,48,56,42,7,3,114,47,3,60,61,5,42,12,30,53,413,351,16,41,42,33,60,78,70,46
0,89,87,109,15,6,152,52,44,51,45,47,28,47,2,10,27,4,39,45,2,52,81,171,388,33,16,8,90,117,39,30,42
0,61,4,40,25,38,41,144,34,24,40,25,13,66,22,12,0,68,52,65,20,5,53,273,170,51,20,48,77,106,69,69,28
0,55,82,109,40,48,94,108,35,24,29,4,23,86,8,22,51,9,11,59,65,55,58,297,343,51,0,0,84,31,112,33,47
0,31,33,81,35,29,10,23,27,39,30,12,27,76,2,42,11,25,81,32,57,34,88,95,241,11,42,5,102,77,36,102,21
0,71,48,64,33,39,98,180,11,2,29,59,33,45,19,1,9,89,41,66,87,4,11,72,117,54,8,3,15,12,36,142,16
0,81,0,82,21,39,180,32,30,13,31,30,4,58,46,18,54,78,52,9,58,67,66,419,176,41,4,28,36,151,94,187,8
0,52,68,31,30,13,171,16,9,41,21,46,25,26,24,56,7,5,52,51,3,32,45,118,267,37,51,11,66,44,40,154,29
